date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/07/08,9429.9,10020.0084,9880.977539,8075.082091,4121.0444
2020/07/09,9235.7,10044.72606,9833.574219,8077.694682,4164.006
2020/07/10,9285.1,9927.58225,9462.697266,7994.702826,4062.3687
2020/07/11,9233.3,9994.135842,9878.232422,8083.176894,4164.5674
2020/07/12,9300.8,9881.864972,9870.99707,8000.457245,4019.3555
2020/07/13,9243.6,10016.75502,9915.394531,8079.459916,4279.7305
2020/07/14,9253.4,10157.12546,9901.427734,8066.889386,4340.395
2020/07/15,9198.7,10270.77758,9781.679688,8091.539421,4419.847
2020/07/16,9135.3,10264.28222,10256.34668,8064.102044,4376.284
2020/07/17,9155.8,10116.27762,9911.19043,8024.54389,4373.9946
2020/07/18,9170.2,10294.38313,9857.902344,8105.691629,4558.9517
2020/07/19,9208,10250.3369,10064.98633,8031.052006,4463.8823
2020/07/20,9162.4,10468.58922,10299.04395,8123.921855,4720.1245
2020/07/21,9387.3,10602.20679,10375.43555,8122.738108,4818.936
2020/07/22,9513.7,10752.91792,10417.35352,8277.341009,4992.202
2020/07/23,9599.6,11032.50531,10174.3291,8422.74235,5319.517
2020/07/24,9546.4,11017.70593,10442.61133,8365.173625,5269.9014
2020/07/25,9704.1,11073.24155,10789.67969,8424.71589,5363.161
2020/07/26,9932.5,11062.42257,10878.81055,8429.326312,5394.3374
2020/07/27,11022.8,11384.71598,11088.68457,8512.305129,5652.5605
2020/07/28,10908.5,11856.49213,11566.75879,9014.893265,6288.2837
2020/07/29,11105.9,11905.64902,11326.6709,8880.041924,6259.6357
2020/07/30,11096.2,12079.67779,11528.5791,9021.278227,6475.7783
2020/07/31,11333.4,12090.04377,11415.26367,8984.165462,6473.8438
2020/08/01,11803.1,12190.22662,12022.8916,8997.794463,6553.835
2020/08/02,11066.8,12403.22157,11632.46289,9145.955991,6809.509
2020/08/03,11224.4,12328.22761,11940.28516,8998.243398,6714.888
2020/08/04,11184.7,12385.08507,11767.72168,8920.616237,6723.867
2020/08/05,11735.1,12634.45745,11659.76074,9021.404869,6987.9863
2020/08/06,11757.1,12763.26251,12146.39355,9127.14295,7139.963
2020/08/07,11592,12725.81703,11834.32813,9080.711385,7107.8286
2020/08/08,11764.3,12724.76525,11897.85645,9080.217474,7171.9575
2020/08/09,11681.2,12879.19469,12272.06152,9135.474516,7300.0366
2020/08/10,11889.2,12943.15928,11858.85254,9109.027493,7335.132
