date,index_num,y,glmnet_pred
2021/01/09,447,40151.9,35009.95291
2021/01/10,448,38192.2,35193.23417
2021/01/11,449,35544.3,35087.30371
2021/01/12,450,34076.1,34709.88152
2021/01/13,451,37382.2,34868.6993
2021/01/14,452,39175.7,34890.42365
2021/01/15,453,36845.8,34917.22298
2021/01/16,454,36019.5,34542.84474
2021/01/17,455,35839.6,34049.37914
2021/01/18,456,36613.2,33991.26728
2021/01/19,457,36002.9,33599.77063
2021/01/20,458,35476.3,33400.31211
2021/01/21,459,30842.1,33202.13684
2021/01/22,460,33000.5,32196.28181
2021/01/23,461,32088.9,32855.19819
2021/01/24,462,32241.3,32668.15304
2021/01/25,463,32252.3,32751.66996
2021/01/26,464,32502.1,32993.92442
2021/01/27,465,30404,33231.75131
2021/01/28,466,33374.8,32884.29868
2021/01/29,467,34301.8,33354.01073
2021/01/30,468,34283.1,31869.74248
2021/01/31,469,33108.1,33737.67516
2021/02/01,470,33515.7,34729.50096
2021/02/02,471,35485.2,35314.38569
2021/02/03,472,37646.8,36127.11827
2021/02/04,473,36982.1,36954.83942
2021/02/05,474,38297.6,37529.24375
2021/02/06,475,39256.6,38598.08418
2021/02/07,476,38852.9,38628.21663
2021/02/08,477,46395.7,39807.07815
2021/02/09,478,46508.6,41430.94501
2021/02/10,479,44836,41447.96638
2021/02/11,480,47990.7,42754.03321
2021/02/12,481,47371.7,42985.605
2021/02/13,482,47168.7,43313.889
2021/02/14,483,48643.4,44937.98295
2021/02/15,484,47936.3,45961.55453
2021/02/16,485,49169.7,46854.19635
2021/02/17,486,52079.2,47949.51483
2021/02/18,487,51582.2,48254.37653
2021/02/19,488,55906.6,48740.85305
2021/02/20,489,55923.7,48906.13151
2021/02/21,490,57433.8,49348.18821
2021/02/22,491,54111.8,49821.68533
2021/02/23,492,48911.2,50145.08482
2021/02/24,493,49697.5,49905.3399
2021/02/25,494,46928.5,50046.72787
2021/02/26,495,46345.6,49178.84739
2021/02/27,496,46136.7,49151.78268
2021/02/28,497,45164,49158.27133
2021/03/01,498,49595.5,48571.68169
2021/03/02,499,48424.2,49572.22814
2021/03/03,500,50395.1,49571.51837
2021/03/04,501,48428,49317.57398
2021/03/05,502,48792.5,48714.52293
2021/03/06,503,48855.6,48871.03192
2021/03/07,504,50982.3,49209.48956
2021/03/08,505,52311,49404.18678
2021/03/09,506,54879,49628.02439
2021/03/10,507,55851.9,49576.27049
2021/03/11,508,57799.5,49899.49162
2021/03/12,509,57265.1,49949.96817
2021/03/13,510,61195.3,50119.14268
2021/03/14,511,59113.7,50515.65464
2021/03/15,512,55791.3,50739.17259
2021/03/16,513,56889.7,51440.17869
2021/03/17,514,58913.5,52044.17946
2021/03/18,515,57656,52432.91982
2021/03/19,516,58088,52687.19897
2021/03/20,517,58093.4,53101.97951
2021/03/21,518,57383.8,53432.39083
2021/03/22,519,54158.3,53794.62517
2021/03/23,520,54452.5,53992.49033
2021/03/24,521,52325.4,54550.94455
2021/03/25,522,51322.3,54724.34651
2021/03/26,523,55036.1,54462.32486
2021/03/27,524,55862.9,54775.19461
2021/03/28,525,55765.2,54511.46178
2021/03/29,526,57616.2,54841.8467
2021/03/30,527,58771.3,55316.32149
2021/03/31,528,58763.7,55722.05549
2021/04/01,529,58718.3,55779.93241
2021/04/02,530,58977.3,55494.70859
2021/04/03,531,57059.9,55090.78686
2021/04/04,532,58199.9,54785.06517
2021/04/05,533,58993.4,54523.95961
2021/04/06,534,57996.3,54556.24975
2021/04/07,535,55948.7,54634.11327
2021/04/08,536,58077.4,54046.51097
2021/04/09,537,58118.7,53699.40967
2021/04/10,538,59748.4,53060.6918
2021/04/11,539,59978.7,53360.72205
2021/04/12,540,59863.8,53113.40641
2021/04/13,541,63540.9,52043.56351
2021/04/14,542,62980.4,52805.42047
2021/04/15,543,63216,53447.07109
2021/04/16,544,61379.7,52834.72723
2021/04/17,545,60041.9,52948.78736
2021/04/18,546,56207.1,53122.45195
2021/04/19,547,55646.1,53071.40296
2021/04/20,548,56483.2,53719.01618
2021/04/21,549,53820.2,53618.43641
2021/04/22,550,51729.5,53638.62413
2021/04/23,551,51143.6,53308.75001
2021/04/24,552,50088.9,52916.64521
2021/04/25,553,48963.6,52828.86061
2021/04/26,554,54020.5,52718.02267
2021/04/27,555,55036.5,53627.75865
2021/04/28,556,54841.4,53847.86383
2021/04/29,557,53560.8,53510.34315
2021/04/30,558,57720.3,53186.85941
2021/05/01,559,57807.1,53391.94326
2021/05/02,560,56603.8,53120.77317
2021/05/03,561,57169.8,52072.62616
2021/05/04,562,53741.5,52317.83446
2021/05/05,563,57441.3,51905.85686
2021/05/06,564,56405.4,51760.47876
2021/05/07,565,57337.2,50066.60483
2021/05/08,566,58840.1,49987.64345
2021/05/09,567,58238.3,48721.0063
2021/05/10,568,55848.9,47039.84287
2021/05/11,569,56695.7,47330.3817
2021/05/12,570,49384.2,46741.83293
2021/05/13,571,49704.6,45095.85048
2021/05/14,572,49839.8,43364.96856
2021/05/15,573,46708.8,42643.00557
2021/05/16,574,46426.4,41976.46883
2021/05/17,575,43541.3,41416.34226
2021/05/18,576,42897.3,40578.23172
2021/05/19,577,36720.5,39739.38069
2021/05/20,578,40717.2,38728.23027
2021/05/21,579,37297.4,37978.87627
2021/05/22,580,37448.3,36960.62712
2021/05/23,581,34679.7,36668.07751
2021/05/24,582,38750.6,35996.23651
2021/05/25,583,38378.3,35714.23972
2021/05/26,584,39249.2,35348.12987
2021/05/27,585,38417.3,35002.39692
2021/05/28,586,35662.5,34495.9336
2021/05/29,587,34584.6,33859.33611
2021/05/30,588,35652.8,33513.02851
2021/05/31,589,37298.6,33588.36708
2021/06/01,590,36687.6,33712.88002
2021/06/02,591,37555.8,33844.7246
2021/06/03,592,39187.3,33880.00287
2021/06/04,593,36851.3,33653.5516
2021/06/05,594,35520,33644.9719
2021/06/06,595,35815.4,33497.88077
2021/06/07,596,33578,33648.33711
2021/06/08,597,33382.9,33818.55048
2021/06/09,598,37332.2,33935.21213
2021/06/10,599,36649.4,34015.60119
2021/06/11,600,37314.6,33743.14084
2021/06/12,601,35467.5,33505.33877
2021/06/13,602,39022.9,33522.58008
2021/06/14,603,40529.4,34202.22622
2021/06/15,604,40156.1,34557.22347
2021/06/16,605,38336,34309.41718
2021/06/17,606,38052,34193.03494
2021/06/18,607,35749.4,33932.83142
2021/06/19,608,35513.4,33625.1556
2021/06/20,609,35595.8,33601.76293
2021/06/21,610,31692,33558.50103
2021/06/22,611,32496.4,33106.78824
2021/06/23,612,33674.3,33084.05188
2021/06/24,613,34665.8,33123.64703
2021/06/25,614,31594,32958.31316
2021/06/26,615,32243.4,32629.5283
2021/06/27,616,34678.5,32588.9358
2021/06/28,617,34475.9,32533.20735
2021/06/29,618,35834.7,32441.22788
2021/06/30,619,35026.9,32393.94529
2021/07/01,620,33543.6,32285.51808
2021/07/02,621,33813.4,31876.51479
2021/07/03,622,34742.8,31892.38086
2021/07/04,623,35298.2,31860.28682
2021/07/05,624,33687.8,31907.81104
2021/07/06,625,34225.6,31833.03349
2021/07/07,626,33886,31631.38325
2021/07/08,627,32873.9,31635.00544
2021/07/09,628,33769,31245.10015
2021/07/10,629,33506,31160.15223
2021/07/11,630,34239,31217.47274
2021/07/12,631,33090,31315.82707
2021/07/13,632,32727,31602.3671
